symbol,name,description,isin,assetclass,domicile,website,etfcompany,expenseratio,totalasset,avgvolume,inceptiondate,nav,navcurrency,holdingscount,returns_12m,volatility_12m,returns_24m,volatility_24m,returns_36m,volatility_36m,returns_5y,ten_year_return,ten_year_volatility,sharpe_12m,sharpe_24m,sharpe_36m,ten_year_sharpe,max_drawdown,dividends_12m,dividends_24m,dividends_36m,dividends_all_time,size_category,liquidity_category,etf_type
WCMI,First Trust WCM International Equity ETF,"Under normal circumstances, the fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities of non-U.S. domiciled companies / companies not located in the U.S.",,Foreign Large Blend,,,First Trust,,223088256,191088,,15.62,USD,,13.826665183536658,17.48413496515128,13.826665183536658,17.48413496515128,13.826665183536658,17.48413496515128,13.826665183536658,13.826665183536658,17.48413496515128,0.6764226658687502,0.6764226658687502,0.6764226658687502,0.6764226658687502,-12.79069699177068,0.0,0.0,0.0,0.0,Small,Medium,Equity
EWK,iShares MSCI Belgium ETF,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large-, mid- and small-capitalization segments of the equity market in Belgium. The fund is non-diversified.",,Miscellaneous Region,,,iShares,,28064102,66506,,22.22683,USD,,21.73657743366919,17.403479000955283,31.71062145228725,16.37860751722793,34.95363398561373,17.831570059541292,53.26829132758264,57.043035220045766,19.1231887781734,1.134059312657305,1.813989462842672,1.8480500525516508,2.878339792517771,-13.191093374562202,0.0,0.0,0.0,0.0,Micro,Low,Equity
LLDR,Global X Funds - Global X Long-Term Treasury Ladder ETF,"The fund invests at least 80% of its total assets, plus borrowings for investment purposes (if any), in the securities of the index. The index is designed to measure the performance of a strategy commonly referred to as bond “laddering” as applied to public obligations of the U.S. Treasury that have maturities between 10 and 30 years as of the last business day of February of each year.",,Long Government,,,Global X Funds,,20593046,401,,44.33,USD,,-7.668331313158938,11.90141927329766,-7.668331313158938,11.901414653689791,-7.668338486778259,11.901417779896525,-7.668345660396469,-7.668331313158938,11.901416417983754,-0.8123679278194208,-0.8123682431450674,-0.8123686325094555,-0.8123681227176884,-12.070242244562024,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
PSFO,Pacer Swan SOS Flex (October) ETF,"The fund is an actively managed ETF that, under normal market conditions, invests substantially all of its assets in FLexible EXchange® Options that reference the market price of the SPDR® S&P 500® ETF Trust. The fund is non-diversified.",,Defined Outcome,,,Pacer,,14574975,1348,,29.4547,USD,,7.832301435409339,11.957678973578302,23.48609842709799,9.551253320114444,49.99495031659256,10.039711236294698,44.05815719867916,44.05815719867916,10.633826389797742,0.4877452763447151,2.249558011601408,4.780511031341754,3.955129194043492,-12.0923436613245,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
EDGF,The Advisorsâ€™ Inner Circle Fu,"Under normal circumstances, the fund invests at least 80% of its net assets, plus any borrowings for investment purposes, in fixed income securities and other instruments, including derivatives and exchange-traded funds (“ETFs”), with economic characteristics similar to such securities.",,Intermediate Core Bond,,,3EDGE Asset Management LP,,181301520,87893,,24.81,USD,,0.9860065594060164,2.8179787028101444,0.9859987788176872,2.817977983946828,0.9860065594060164,2.8179787028101444,0.9859987788176872,0.9859987788176872,2.817977983946828,-0.3598300581841904,-0.3598329110300976,-0.3598300581841904,-0.3598329110300976,-1.622916747565184,0.0,0.0,0.0,0.0,Small,Low,Equity
PVAL,Putnam Focused Large Cap Value ETF,"The fund invests mainly in common stocks of U.S. companies, with a focus on value stocks that offer the potential for capital growth, current income, or both. Under normal circumstances, the fund invests at least 80% of the fund’s net assets in large-cap companies, which, for purposes of this policy, are of a size similar to those in the Russell 1000 Value Index. The fund may also invest in midsize companies.",,Large Value,,,Franklin Templeton Investments,,2986768640,746304,,39.02912,USD,,11.434252323111572,17.187587451349064,43.37799139003891,14.55946196532384,65.64469321623368,15.612424674112637,65.49934382771877,65.49934382771877,16.07109889998249,0.548899160502661,2.8420000332834108,4.076541251261541,3.9511513321461766,-15.414303429518416,0.0,0.0,0.0,0.0,Medium,Medium,Equity
MEDX,Horizon Kinetics Medical ETF,"The fund is an actively-managed exchange-traded fund (“ETF”) that pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in common stocks, convertible securities, warrants and other equity securities having the characteristics of common stocks of U.S. and foreign companies engaged in medical research, pharmaceutical and medical technology industries and related technology industries. The fund is non-diversified.",,Health,,,Horizon Kinetics,,15491977,1753,,26.7956,USD,,-9.203452634633368,19.34012804669865,-5.262916661814687,16.91904253741103,-7.824934097605041,16.477850486919415,-7.824934097605041,-7.824934097605041,16.477850486919415,-0.5792853391446802,-0.4292746853585289,-0.5962509555117248,-0.5962509555117248,-23.098218532470995,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
KOCT,Innovator U.S. Small Cap Power Buffer ETF - October,"The fund has adopted a policy pursuant to Rule 35d-1 under the 1940 Act to invest, under normal circumstances, at least 80% of its net assets (plus any borrowings for investment purposes) in investments that provide exposure to the iShares Russell 2000 ETF (the “Underlying ETF”). It is non-diversified.",,Defined Outcome,,,Innovator ETFs,,100286504,8953,,30.3902,USD,,7.162110443104042,12.64883616750287,15.352139316755142,11.837900309801393,23.031387567377017,12.6192065396812,30.35266881913044,26.530155263868195,15.146862398631184,0.4081095189110307,1.1279144922094009,1.6666172711607217,1.6194875623934484,-15.031525070180152,0.0,0.0,0.0,0.0,Small,Very Low,Equity
CPRO,Calamos ETF Trust,"Under normal market conditions, the fund will invest substantially all of its assets in FLexible EXchange Options (""FLEX Options"") that reference the price performance of the iShares®?Russell 2000®? ETF. The fund is non-diversified.",,Defined Outcome,,,Calamos,,27756048,5256,,24.9,USD,,0.4527427754103641,3.526002412915188,0.4527427754103641,3.526002412915188,0.4527427754103641,3.526002412915188,0.4527427754103641,0.4527427754103641,3.526002412915188,-0.4388134332870215,-0.4388134332870215,-0.4388134332870215,-0.4388134332870215,-3.357842996070548,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
BSCU,Invesco BulletShares 2030 Corporate Bond ETF,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2030. It does not purchase all of the securities in the index; instead, the fund utilizes a ""sampling"" methodology to seek to achieve its investment objective.",,Target Maturity,,,Invesco,,1575529472,370443,,16.58,USD,,8.036863990397203,4.676509965354263,13.24389486925046,5.672923609737769,16.958160750342334,7.144059099934314,-1.371234172507385,-1.3712673936050357,6.960969330897539,1.290890864153197,1.982028252583893,2.093790174619337,-0.484310048406771,-3.564107704779418,0.0,0.0,0.0,0.0,Medium,Medium,Equity
OVLH,Overlay Shares Hedged Large Cap Equity ETF,"The fund is an actively-managed ETF that seeks to achieve its objective by (i) investing in one or more other ETFs that seek to obtain exposure to the performance of U.S. large-cap equity securities or directly in the securities held by such ETFs, (ii) selling and purchasing listed short-term put options to generate income to the fund, and (iii) purchasing long-term out-of-the-money put options to seek to hedge against significant declines in U.S. large-cap equities.",,Equity Hedged,,,Overlay Shares,,67030652,31512,,35.8896,USD,,13.413946295070913,10.97974818900651,36.36179864432941,9.988751923453217,45.72325721371748,11.313702369002018,49.80492854311673,49.80492854311673,12.372484394005246,1.0395453610219534,3.4400492581710016,3.8646285528522624,3.863809969021203,-8.810950041279664,0.0,0.0,0.0,0.0,Micro,Low,Equity
GAEM,Simplify Exchange Traded Funds,"The fund is an actively managed exchange-traded fund that seeks to achieve its investment objective by investing primarily in bonds issued by, or tied economically to, issuers in emerging markets, denominated in USD or local currency. Under normal circumstances, the fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in debt securities of issuers in emerging markets. It is non-diversified.",,Emerging Markets Bond,,,Simplify Asset Management,,11464494,412,,25.5736,USD,,8.872992190759943,5.115569726715749,8.872992190759943,5.115570012209959,8.872983321231454,5.1155698006492525,8.872983321231454,8.872992190759943,5.115566049505015,1.343543839284638,1.3435437643029668,1.3435420860368583,1.3435448050612069,-3.841072890991604,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
NUAG,Nuveen Enhanced Yield U.S. Aggregate Bond ETF,"Under normal market conditions, the fund invests at least 80% of its assets, exclusive of collateral held from securities lending, in component securities of the index. The index consists of U.S. dollar-denominated, investment grade taxable debt securities with fixed rate coupons that have at least one year to final maturity.",,Intermediate Core Bond,,,Nuveen,,58078340,16466,,20.6401,USD,,5.3568099167695005,5.223556613173988,10.023048535740386,5.809049075334917,10.947828663317315,6.53031026993666,-2.627017632886741,12.56458541818921,5.655333103709897,0.6426291826345887,1.3811294123518525,1.370199621985818,1.8680748285647129,-4.379334964484494,0.0,0.0,0.0,0.0,Micro,Low,Equity
IBDT,iShares iBonds Dec 2028 Term Corporate ETF,"The fund will invest at least 80% of its assets in the component instruments of the underlying index and will invest at least 90% of its assets in fixed income securities of the types included in the underlying index. The index consists of U.S. dollar-denominated, investment-grade securities publicly issued by U.S. and non-U.S. corporate issuers that have $300 million or more of outstanding face value at the time of inclusion.",,Target Maturity,,,iShares,,2863671552,509117,,25.15646,USD,,7.517496449600802,2.8852207291491965,13.193404152211418,3.9850328273066142,16.81374800562967,5.429560233192598,5.935961829505643,29.23660038564397,6.774127988848874,1.9123307946105808,2.8088612157749187,2.7283513524849767,4.020679920792622,-1.6362563780408124,0.0,0.0,0.0,0.0,Medium,Medium,Equity
INCM,Franklin Templeton ETF Trust - Income Focus ETF,"Under normal market conditions, the fund invests in a diversified portfolio of debt and equity securities. The fund may invest up to 30% of its assets in equity index-linked notes, with respect to which interest payments are typically derived from the implied volatility of an equity index (e.g., the S&P 500 Index) and 10% of its assets in equity linked notes (ELNs).",,Moderately Conservative Allocation,,,Franklin Templeton Investments,,631585664,190448,,26.65,USD,,10.505320441750476,8.477631476921854,20.977274174755834,8.06321972594744,20.808372185089908,8.00282632208912,20.808361913094565,20.808361913094565,8.002836065452508,1.0032661203667557,2.353560341867774,2.3502162146360344,2.350212069729692,-7.840653089557792,0.0,0.0,0.0,0.0,Small,Medium,Equity
FTRB,Federated Hermes Total Return Bond ETF,"The fund pursues its investment objective by investing primarily in U.S. dollar denominated, investment-grade, fixed-income securities. In addition, the fund may invest in high-yield, non-U.S. dollar denominated, and emerging market fixed-income securities when Federated Investment Management Company considers the risk-return prospects of those sectors to be attractive. The fund may invest up to 25% of its total assets in noninvestment-grade debt securities.",,Intermediate Core-Plus Bond,,,Federated,,316065856,91351,,24.74,USD,,5.518218790650509,5.321105741257132,6.222443228640628,5.091204907703937,6.2224346719194745,5.091208038607888,6.222451785363159,6.2224346719194745,5.091197064739082,0.6611818974714296,0.8293602998086541,0.8293581090970373,0.829359896744808,-4.831254351278624,0.0,0.0,0.0,0.0,Small,Low,Equity
GXG,Global X MSCI Colombia ETF,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. It also invests at least 80% of its total assets in securities of companies that are economically tied to Colombia. The underlying index is designed to represent the performance of the broad Colombia equity universe. The fund is non-diversified.",,Miscellaneous Region,,,Global X Funds,,97409888,106454,,29.22,USD,,26.16471183024607,20.85368959715089,59.56736132744376,20.939499298659648,37.61693961740471,22.99717616561648,70.10368003933539,2.523052462973685,26.35465750531905,1.158773929077162,2.749223393853008,1.5487527408106865,0.0198466803398268,-13.37974225689894,0.0,0.0,0.0,0.0,Micro,Medium,Equity
JPMO,YieldMax JPM Option Income Strategy ETF,"The fund will employ its investment strategy as it relates to JPM regardless of whether there are periods of adverse market, economic, or other conditions and will not take temporary defensive positions during such periods. The fund is non-diversified.",,Derivative Income,,,YieldMax ETFs,,57709856,36608,,16.3189,USD,,16.155866030532827,22.19286784104268,33.11209526486252,19.098393609254074,33.11211513316974,19.09839314879977,33.1121051990154,33.1121051990154,19.098386401661653,0.6378565461627039,1.6290425206121648,1.62904360020073,1.629043655557649,-24.795997318469286,0.0,0.0,0.0,0.0,Micro,Low,Equity
IZRL,ARK Israel Innovative Technology ETF,"The fund normally invests at least 80% of its total assets in securities that are included in the fund's benchmark index, depositary receipts representing securities included in the index or underlying stocks in respect of depositary receipts included in the index. The index includes equity securities and depositary receipts of exchange listed companies that are incorporated and/or domiciled in Israel (""Israeli Companies""). The fund is non-diversified.",,Technology,,,ARK ETF Trust,,104084200,13167,,24.917,USD,,36.17608826553791,25.08550817064482,43.831400173079246,22.700469246423093,37.01755360444252,23.36296585156317,10.584940340071425,40.14988094051144,25.237340266198625,1.362383732992538,1.842754866385443,1.4988488117016852,1.5116442754313175,-21.4339362402338,0.0,0.0,0.0,0.0,Small,Low,Equity
FXED,Sound Enhanced Fixed Income ETF,"Under normal market conditions, the fund will invest at least 80% of its net assets in fixed income securities. The fund's investments in fixed income securities will typically include U.S. corporate bonds, preferred stock and ETFs that invest in bonds, sovereign debt, and private placement debt securities. It may also invest in fixed income securities issued by U.S. and foreign corporations, securities issued by governments and their agencies, instrumentalities, or sponsored corporations, including supranational organizations. The fund is non-diversified.",,Conservative Allocation,,,Sound ETF,,40198800,8224,,17.9552,USD,,4.3824928641492455,9.655076155779351,17.650734779348397,8.968154418391704,22.90360987983535,9.351119525683329,199.97127351163115,199.97141629747043,77.87329999035647,0.2467606496012078,1.7451455504883142,2.2354125431102143,2.5422245663402787,-8.95404872921397,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
PJUL,Innovator S&P 500 Power Buffer ETF â€” July,"The fund invests at least 80% of its net assets in FLexible EXchange® Options (""FLEX Options"") that reference the SPDR® S&P 500® ETF Trust (the “underlying ETF”). FLEX Options are exchange-traded option contracts with uniquely customizable terms. The underlying ETF invests in equity securities of companies, including companies with large capitalizations. The fund is non-diversified.",,Defined Outcome,,,Innovator ETFs,,875719744,69654,,42.3634,USD,,11.685974501521669,11.433928907324743,30.10495164885292,9.052343132796551,47.68550248153336,9.785982177333944,66.5451204401405,73.34224852585005,10.522096928055117,0.8471256538351125,3.104715678201476,4.668463691600524,6.7802310712069085,-10.694803218783257,0.0,0.0,0.0,0.0,Small,Low,Equity
BDIV,AAM Brentview Dividend Growth ETF,"The fund is an actively managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its net assets (plus borrowings for investment purposes) in equity securities that pay dividends. The fund manager attempts to achieve a faster dividend growth than the market, with a lower portfolio beta, and an aggregate yield that is equal to or greater than the S&P 500®.",,Large Value,,,AAM,,3436257,2448,,20.4109,USD,,11.71049633172585,16.436965115223938,11.71049633172585,16.43698050231669,11.710507819300677,16.436968860756743,11.71048484415338,11.71049633172585,16.436963751879986,0.5907718525685728,0.5907712995313961,0.5907724168343781,0.5907719015694249,-14.98188491161896,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
NZAC,SPDR MSCI ACWI Climate Paris Aligned ETF,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to exceed the minimum standards for a “Paris-Aligned Benchmark” under the EU BMR. A Paris-Aligned Benchmark is designed to align with a principal objective of the Paris Agreement to limit the increase in the global average temperature to well below 2 degrees Celsius above pre-industrial levels.",,Global Large-Stock Blend,,,SPDR State Street Global Advisors,,159188272,7629,,38.35738,USD,,14.693934241119043,18.889859339612112,38.5318171235626,15.827900502887662,53.06757733937167,17.286858164948214,86.97490585905192,147.58638196012134,17.431180886191992,0.6719972876928635,2.308064617723474,2.954127167128559,8.352066501440918,-16.188011802526148,0.0,0.0,0.0,0.0,Small,Very Low,Equity
IYH,iShares U.S. Healthcare ETF,The fund generally will invest at least 80% of its assets in the component securities of its underlying index. The underlying index measures the performance of the healthcare sector of the U.S. equity market. The fund is non-diversified.,,Health,,,iShares,,2761981184,479006,,56.26992,USD,,-7.262802587929107,16.35469162404344,4.048488227577085,13.688575442584296,6.899216426816324,14.31957272482009,41.622100097456325,99.13648005854373,17.234803130983746,-0.5663697488683693,0.1496494822393546,0.3421342606350621,5.636065542513642,-17.90951117126133,0.0,0.0,0.0,0.0,Medium,Medium,Equity
COPX,Global X Copper Miners ETF,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to measure broad-based equity market performance of global companies involved in the copper mining industry. The fund is non-diversified.",,Natural Resources,,,Global X Funds,,1899793920,1386262,,43.52,USD,,0.9130912448181094,37.44205112304584,24.57405767853995,33.57396185756601,49.213931893974895,34.912372700652895,195.6141582590682,154.80837082604043,36.2604845176196,-0.0290290922260103,0.6723680027489162,1.3523552895931346,4.214184472680948,-34.79960303559145,0.0,0.0,0.0,0.0,Medium,High,Equity
SIVR,abrdn Physical Silver Shares ETF,"The shares are intended to constitute a simple and cost-effective means of making an investment similar to an investment in silver. An investment in physical silver requires expensive and sometimes complicated arrangements in connection with the assay, transportation, warehousing and insurance of the metal. Although the shares are not the exact equivalent of an investment in silver, they provide investors with an alternative that allows a level of participation in the silver market through the securities market.",,Commodities Focused,,,Aberdeen Standard Investments,,1687465344,933803,,34.56112,USD,,26.805954864314185,28.09849670814561,59.71166475917258,28.19851833040973,71.56833381188967,28.925181446324142,102.3014455601789,124.5624159896694,26.83786885128971,0.8828214235789725,2.0466204671802,2.405113134414945,4.5667715521226855,-17.032801460674353,0.0,0.0,0.0,0.0,Medium,Medium,Equity
ETHO,Etho Climate Leadership U.S. ETF,"The index tracks the performance of the equity securities of a diversified set of U.S. companies that are leaders in their industry with respect to their carbon impact. Under normal circumstances, the fund will invest at least 80% of its total assets in U.S. companies that are leaders in their industry with respect to their carbon impact. The fund is non-diversified.",,Mid-Cap Blend,,,Amplify ETFs,,150215248,7291,,58.0228,USD,,4.039981115188795,22.465175729711724,14.575672921917128,19.00424484333109,20.53966772171738,20.2046042313571,52.19815062913018,153.20631178233762,20.386789364840897,0.0908063724821338,0.6617296833202053,0.9175961829999236,7.416877129417365,-25.50326872131409,0.0,0.0,0.0,0.0,Small,Very Low,Equity
MOTO,SmartETFs Smart Transportation & Technology ETF,"The fund invests in publicly-traded equity securities of domestic or foreign companies that are involved in the development and production of products or services for Smart Transportation, including safer, cleaner or connected vehicles and Smart Transportation companies providing ""transportation as a service."" Under normal circumstances, it will invest at least 80% of its net assets (plus any borrowings for investment purposes) in Smart Transportation companies and Technology companies.",,Global Large-Stock Blend,,,SmartETFs,,7741793,703,,45.5965,USD,,6.062943718543279,27.309997718685874,14.48769518116453,22.746403437198367,36.21796397922547,23.7963306612233,93.28051907517532,103.36732036701424,27.01729051113584,0.1487712946882949,0.5489964695140664,1.4379512735122846,3.751942494945347,-26.42390361442587,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
GHMS,Collaborative Investment Series,"The fund is an actively managed exchange traded fund (“ETF”) that seeks to achieve its investment objective by investing in a combination of fixed income ETFs (“underlying funds”). The underlying funds in which the fund invests each primarily invest in (1) corporate bonds of U.S. and foreign issuers (2) U.S. and foreign government securities, and (3) agency and mortgage-backed securities.",,Multisector Bond,,,Goose Hollow ETF,,15611227,4582,,26.17,USD,,4.736609574147099,6.103447682529651,9.617697474823196,5.713299806952661,9.617706276197111,5.713299527208155,9.617706276197111,9.617706276197111,5.71330264041934,0.4483711037583396,1.3333271020633335,1.3333287078543143,1.3333279813158987,-4.724484912888838,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
BTGD,STKD Bitcoin & Gold ETF,"The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by investing via U.S.-listed futures contracts as well as pooled investment vehicles, such as exchange-traded products, in two complementary asset classes, a modern digital asset class and a traditional asset class. The fund is non-diversified.",,Digital Assets,,,Quantify Funds,,37582816,36496,,36.7437,USD,,77.99568882522836,54.14099577135608,77.99568882522836,54.14099577135608,77.99568882522836,54.14099577135608,77.99568882522836,77.99568882522836,54.14099577135608,1.4036625618443974,1.4036625618443974,1.4036625618443974,1.4036625618443974,-24.83327961785673,0.0,0.0,0.0,0.0,Micro,Low,Equity
